Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
23,0|1|2|3|4|5|6|7|,3049|2968|1594|435|188|76|27|24|,63.66819860089384|83.86459783734439|104.76365402480901|119.21011335957934|131.15152188795764|136.8221666571608|143.0920889099582|148.87958068752928|,5.319163406363459|7.764445664060055|10.190360017432264|11.605913905511693|11.549018950400802|11.517085479261176|11.582210771884464|13.027711388947033|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,5018|2964|369|10|0|0|0|0|,69.926471055803|101.66454188017063|136.84082570533488|165.66962841620563|nan|nan|nan|nan|,9.21297636177513|11.258707583283067|8.462828704836259|8.023865372334324|nan|nan|nan|nan|,2502|5051|6797|3069|52|0|0|0|,0|204|5809|3046|51|0|0|0|,5431|5051|6797|3069|52|0|0|0|,326|1570|5419|2337|8|0|0|0|,5085|3463|1244|643|43|0|0|0|,0|0|0|0|0|0|0|9|,0|1|7|1|0|0|0|0|,4253|4019|1285|834|77|1|0|0|,0|0|0|0|0|0|0|0|,43|344|262|227|11|0|0|0|,4210|3675|1023|607|66|1|0|0|,194|1306|746|345|68|25|10|2|,324|1398|537|389|47|1|0|0|
24,0|1|2|3|4|5|6|7|,2447|2724|1196|420|79|14|6|0|,64.66038776928157|100.46655857290443|104.80784092420079|115.19121166141163|123.68434477166196|133.58084184814342|131.42265121689132|nan|,5.737494272066774|32.23358337740595|9.657959800482331|10.410315602500171|11.66812812416609|20.132781599353933|7.063273947128709|nan|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,3886|2277|486|218|19|0|0|0|,70.12970357430945|103.20349609121979|142.89223167735932|171.44792609196202|195.54899076731735|nan|nan|nan|,8.790401727374132|11.36071750887142|10.551797451848381|7.510070003455019|3.562534770661456|nan|nan|nan|,1816|3964|6493|3572|146|5|0|0|,0|203|5652|3201|54|0|0|0|,2548|3964|6493|3572|146|5|0|0|,6|603|5230|2722|15|0|0|0|,2537|3345|1127|755|125|5|0|0|,0|0|0|0|0|0|0|1|,0|0|1|0|0|0|0|0|,1918|3692|1188|909|173|13|0|0|,0|0|0|0|0|0|0|0|,4|286|216|278|16|0|0|0|,1914|3406|972|631|157|13|0|0|,59|1206|649|333|88|13|3|1|,169|1236|467|378|93|9|0|0|
25,0|1|2|3|4|5|6|7|,670|2312|1170|448|125|14|1|1|,64.36764940764888|104.24781681410443|112.09094756852747|116.79140515539689|117.29576958510152|118.56776159525971|119.94437154990054|128.56786696421287|,6.437730756395552|33.31670032683872|26.223918170955784|9.99856356515053|11.769497730308618|14.919321611994679|0.0|0.0|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,1745|2170|505|253|64|4|0|0|,73.69614063965258|104.15636987463306|143.18027500889124|172.08591310280846|200.7733761865855|218.57720663123987|nan|nan|,8.771822758302767|11.308207272109218|10.794633663129503|8.117380285779305|6.243495107082015|2.9014521216990454|nan|nan|,587|2950|6644|3442|191|36|1|0|,0|230|5777|3051|52|0|0|0|,1365|2950|6644|3442|191|36|1|0|,0|180|5344|2629|15|0|0|0|,1360|2751|1130|751|174|36|1|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1132|2670|1206|945|193|53|4|0|,0|0|0|0|0|0|0|0|,0|102|249|256|16|7|0|0|,1132|2568|957|689|177|46|4|0|,64|709|607|344|93|36|4|0|,94|934|414|335|62|17|1|0|
26,0|1|2|3|4|5|6|7|,714|1318|1018|499|115|47|4|1|,64.97018426277265|128.234348741015|116.31681403899825|127.66211249298304|118.4984360366568|117.92670453342636|107.67637651738744|121.1686121453123|,5.386252047364465|37.74849305592921|30.209801052012523|31.896015626818684|10.961126503416383|10.458766411565268|6.735377950462453|0.0|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,1038|1634|543|354|115|29|3|0|,69.15167656662344|108.01597989425012|142.9156759922197|172.35005946561515|201.36069176614737|222.99679441950664|240.3907587473669|nan|,8.229228571149859|11.06096505147113|10.939649162037608|8.08301229454744|6.65426709057129|5.27885156548378|3.3904984200393096|nan|,512|1756|6630|3576|267|69|13|3|,0|196|5746|3110|58|0|0|0|,1116|1756|6630|3576|267|69|13|3|,0|13|5417|2707|33|13|7|1|,1114|1732|1061|787|231|56|6|2|,0|0|0|0|0|0|0|1|,0|1|0|0|0|0|0|0|,874|1757|1046|967|254|76|9|5|,0|0|0|0|0|0|0|0|,0|23|173|311|26|14|1|3|,874|1734|873|656|228|62|8|2|,50|656|238|298|106|32|11|1|,74|615|322|289|75|14|3|0|
27,0|1|2|3|4|5|6|7|,554|1368|477|453|137|36|17|3|,64.04232165218471|129.4969178335256|131.54774761497785|129.87987531706648|145.52861351688304|120.83793957250593|116.67835620819612|111.7678687881447|,5.430243008964652|36.38034697894669|41.86404594662645|33.944853165455335|45.05567501239675|11.499304161602295|13.059490752528923|8.295568281061888|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,800|1119|551|367|153|48|5|2|,68.9914134621498|107.2499971371174|144.10546760923344|171.49582028623425|201.53666890845636|223.8963604822251|238.90529375567968|248.94604103349832|,8.872974109857678|12.436677455910987|10.669293689263531|7.936165801214279|6.665080092658907|5.968917231817383|1.899049661681963|2.369906628210771|,378|1256|6249|3835|305|105|18|9|,0|154|5554|3326|75|1|0|0|,719|1256|6249|3835|305|105|18|9|,0|9|5124|3029|47|20|5|6|,717|1240|984|711|253|85|13|3|,0|0|0|0|0|0|0|6|,0|6|0|0|0|0|0|0|,583|1214|954|840|284|102|19|4|,0|0|0|0|0|0|0|0|,0|6|185|209|38|9|1|2|,583|1208|769|631|246|93|18|2|,33|502|265|114|84|29|9|6|,56|451|237|202|72|24|0|0|
28,0|1|2|3|4|5|6|7|,308|1285|495|210|144|45|15|6|,63.24925727410045|133.43035827446815|140.36322093908927|148.3284519024529|154.1217898225127|160.67884010670252|121.10397438672996|117.3644725280231|,4.028909558291138|36.76116568771345|40.82673252540454|46.84592605504175|49.15995519232408|51.618709205414504|10.087666318615987|7.819713305168455|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,527|757|532|429|174|69|18|2|,70.2111777143199|106.63471340491198|144.55016808549468|171.6151108165592|200.95002797320498|224.42272857605303|239.24129848231314|254.11285058616588|,9.120292563096237|11.98534982489757|10.572024526581892|7.63752548707282|6.90159098187954|4.907948002157024|3.1913935729331953|7.286568840066053|,236|990|6155|3738|341|108|33|17|,0|188|5677|3180|65|0|0|0|,317|990|6155|3738|341|108|33|17|,0|18|4936|2856|37|13|3|10|,316|966|1057|808|295|95|29|7|,0|0|0|0|0|0|0|8|,0|7|1|0|0|0|0|0|,225|898|984|968|327|117|35|11|,0|0|0|0|0|0|0|0|,0|49|158|353|50|24|10|6|,225|849|826|615|277|93|25|5|,8|339|193|112|38|33|9|3|,16|287|195|154|67|15|1|0|
29,0|1|2|3|4|5|6|7|,73|1282|455|215|75|49|25|6|,64.05546537921937|143.5795725174622|145.1720218457292|157.37988501461655|171.27363751256243|173.84545483085702|178.20244157946814|127.82421472367896|,5.470532745971267|32.720824035218726|42.91290107101685|44.76449270477645|53.564391648892006|57.51687188460634|56.07145241620001|12.416968652230342|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,209|562|631|461|210|78|24|5|,74.16035305034954|109.10727693828078|146.24585315950128|172.29932141206348|201.08963116746975|223.7665768923817|238.92619304130645|255.0388937585313|,8.837181792124216|11.662637294659572|10.276280818907239|7.993871167302448|6.918572995369189|5.45276514919725|3.0405967890729633|8.028688219449094|,58|688|6119|3856|373|147|33|16|,0|208|5661|3180|61|0|0|0|,157|688|6119|3856|373|147|33|16|,0|14|4905|3109|66|30|11|10|,154|662|1051|686|305|116|22|6|,0|0|0|0|0|0|0|11|,0|3|1|0|1|6|0|0|,139|511|942|902|312|145|26|14|,0|0|0|0|0|0|0|0|,0|0|118|307|34|12|5|10|,139|511|824|595|278|133|21|4|,4|181|123|103|28|15|7|2|,6|157|133|111|42|13|1|0|
30,0|1|2|3|4|5|6|7|,92|1186|429|200|77|30|21|7|,61.89029967966043|151.30914425852797|161.15126538679294|164.7502128863334|191.78545771585155|180.1323178891215|208.22042573468457|147.0890314635736|,4.674408894742813|24.716391630890875|43.86583988011402|48.14529256593076|42.61026785386087|54.2971398317773|51.30740720096328|50.33380119287463|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,133|354|691|484|236|120|20|4|,67.67295821254383|111.29093888466626|145.78691599216927|171.81935702689194|202.6166726510901|223.857064920986|239.94098960962697|257.0410358496081|,9.697791560792766|10.466372058047535|10.316797025505114|7.988736767788497|7.146987012068717|5.884715610364168|3.0046298785357664|13.027401024334088|,91|411|6167|3858|358|199|49|19|,0|189|5732|3132|57|0|0|0|,147|411|6167|3858|358|199|49|19|,0|5|4994|3087|49|56|16|12|,146|400|1038|674|305|142|33|6|,0|0|0|0|0|0|0|11|,0|3|0|0|1|4|2|1|,135|296|925|861|311|155|39|11|,0|0|0|0|0|0|0|0|,0|0|176|310|27|27|9|8|,135|296|749|551|284|128|30|3|,4|134|46|62|28|4|3|2|,6|79|87|75|30|4|2|0|
31,0|1|2|3|4|5|6|7|,52|1158|358|190|73|39|16|7|,66.65781043251674|149.0101397480435|175.61622294278993|179.4121188658717|192.7027573794998|211.06915593778692|196.84085929327978|185.82013983445356|,8.567081049396883|26.592247805160873|33.62866616034656|45.329824440610764|47.5594976097861|33.213924004622925|52.587102184909426|60.88610883791748|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,129|217|662|476|254|124|28|3|,74.039206436515|115.73719449834012|146.50604112204118|171.4261871868824|201.48970828266374|224.5083885843626|239.35994824325704|252.21788910141117|,8.572437958539451|9.21562839218397|9.81839526584658|7.736493607882078|7.259707825664092|5.857696460296489|3.1135903086998504|2.70003478228179|,42|311|5908|4111|366|183|61|21|,0|160|5542|3349|59|0|0|0|,60|311|5908|4111|366|183|61|21|,0|10|4716|3393|45|37|18|15|,60|291|1032|649|314|145|42|6|,0|0|0|0|0|0|0|3|,0|1|0|0|0|1|0|1|,40|228|859|837|328|167|56|21|,0|0|0|0|0|0|0|0|,0|10|99|280|50|46|16|16|,40|218|760|557|278|121|40|5|,4|79|50|21|17|5|2|2|,8|63|51|34|17|5|2|0|
32,0|1|2|3|4|5|6|7|,14|1207|303|168|90|28|20|9|,62.81474696544022|154.27534721055247|171.98714616207232|196.23314667130555|202.78992519234757|215.43563454608903|221.1171951259133|196.53481611119912|,1.9878671236891141|21.594679659196697|35.567999264391396|34.123674536514024|39.413966877043336|36.094761851086126|18.508795200364535|52.73732968071781|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,32|155|709|523|261|116|38|5|,73.34027329121979|112.07394831215302|147.1985196068018|171.42229465422974|201.40956040557467|224.1603576030295|238.69619320741737|253.3118843770802|,9.505923186346257|11.387714209888328|9.58946754847497|7.873976233253699|7.178516292045763|6.011668400817301|2.2388309855042934|7.928809148205143|,14|281|6068|3929|391|178|62|26|,0|195|5761|3098|56|0|0|0|,58|281|6068|3929|391|178|62|26|,0|13|4883|3176|46|32|22|15|,58|258|1018|689|342|144|40|11|,0|0|0|0|0|0|0|11|,0|0|1|0|2|4|4|0|,48|182|881|872|349|160|42|15|,0|0|0|0|0|0|0|0|,0|0|107|340|50|29|4|7|,48|182|774|532|299|131|38|8|,2|43|31|24|8|7|2|1|,2|42|31|20|19|3|1|0|
33,0|1|2|3|4|5|6|7|,42|1231|305|144|95|51|17|9|,66.18357152824193|153.52884071790842|181.5525167554449|196.31624680572486|212.93037628936167|217.2147288387871|229.90806378328875|221.23355156252694|,3.0617325106058217|19.39266259348869|27.37419613671478|36.06220872462424|26.959464112373144|29.037933354641027|14.8074909158315|38.55687682614628|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,46|140|743|512|280|128|37|8|,67.61749013292524|116.28848794643638|146.97778500761905|171.50146024243085|202.4531067738808|223.6771577323723|240.71376063886157|249.33200644290952|,5.5047664149106525|9.052251913290359|9.391416975187886|7.718497466080039|7.42867008378921|5.412232771311853|2.6600105993500107|6.623525836359249|,11|294|6220|3766|419|215|43|36|,0|226|5863|2962|59|0|0|0|,47|294|6220|3766|419|215|43|36|,0|17|4976|3064|74|54|12|20|,47|274|1086|622|344|159|31|16|,0|0|0|0|0|0|0|5|,0|1|0|0|1|1|2|0|,43|186|838|907|356|179|44|21|,0|0|0|0|0|0|0|0|,0|4|124|294|47|55|17|13|,43|182|714|613|309|124|27|8|,2|24|8|6|6|2|0|0|,3|21|9|8|4|2|1|0|
34,0|1|2|3|4|5|6|7|,34|1295|342|157|66|49|23|6|,71.88133038332752|153.17091162891356|180.28367895688487|203.55086172199796|205.28962987588375|221.67926946163675|225.6060626425949|225.9477131285557|,3.802789257590141|21.268727615273225|24.368610308577523|25.399554688430232|35.70453620023304|18.855849710283998|13.48083876174883|14.186131488985739|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,40|161|705|605|305|122|26|8|,73.56960185001023|115.80605995372233|146.76563275208105|170.44894098362286|202.13648274541012|223.9780827325215|239.01632219266315|250.0633701848013|,5.363090441595178|8.598847059539693|9.848117525513894|7.672387659094193|7.047487827942599|5.714322290421127|2.7986165574200212|3.485731303469297|,7|264|5971|4145|401|220|50|24|,0|188|5622|3254|46|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|16|,0|0|0|0|4|5|4|3|,0|172|4674|5169|712|244|65|30|,0|0|0|0|0|0|0|0|,0|0|3169|4935|223|55|13|18|,0|172|1505|234|489|189|52|12|,0|13|13|4|1|4|0|0|,0|21|7|1|5|1|0|0|
35,0|1|2|3|4|5|6|7|,0|1970|299|159|102|44|37|7|,nan|153.79710126700155|186.29941641447203|210.55217239267873|222.07768618031656|221.1932792310736|226.7964527186715|226.14060394906218|,nan|19.244086333047914|28.377527405176085|17.445910538661945|17.460996298252056|26.109427728414204|19.797474724284065|13.064848375067173|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|151|1498|233|484|188|52|12|,nan|117.66510552337697|149.12081074047944|169.87195684906828|199.07077925253267|223.19918123773522|238.94508514515582|254.4227201317284|,nan|7.650851751535133|7.878035314205382|7.337600868760806|7.32957331401298|5.355430618874346|2.9106322107768356|5.538392565579662|,0|215|6109|4538|439|301|83|43|,0|199|5649|3208|54|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|22|,0|0|1|0|0|12|8|1|,0|133|4924|5385|763|360|78|63|,0|0|0|0|0|0|0|0|,0|0|3572|5104|348|107|24|47|,0|133|1352|281|415|253|54|16|,0|3|5|1|0|0|1|0|,0|4|3|1|2|0|0|0|
36,0|1|2|3|4|5|6|7|,0|1713|397|159|108|69|36|12|,nan|152.82631211854553|188.32891738602208|212.73815011741146|221.38014805324306|226.12240036192378|227.40031683598664|233.45714574951833|,nan|18.236707211844127|28.321894409431405|20.104001532398566|16.24884118742244|12.505788493296162|22.376709917004774|13.673319572333417|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|129|1349|280|413|253|54|16|,nan|119.24807597851593|148.83244056105386|170.01471551918974|202.3491597713747|223.47982449594812|239.39781982504792|255.1657614207402|,nan|4.733690090411483|8.066051727314981|7.562917435610982|7.907782891722578|5.571823331574353|2.716766391367938|7.924414088036394|,0|213|6362|4180|330|368|102|49|,0|203|5866|3000|41|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|1|0|1|13|8|3|,0|124|5368|5110|426|375|117|58|,0|0|0|0|0|0|0|0|,0|0|4144|4740|78|146|47|36|,0|124|1224|370|348|229|70|22|,0|0|0|0|1|0|0|0|,0|1|0|0|0|0|0|0|
37,0|1|2|3|4|5|6|7|,0|1644|330|202|83|71|41|15|,nan|152.79424831551668|185.67842932837266|215.18557941997977|224.43730002685712|226.61609963913577|230.11745603207072|235.92334468371348|,nan|17.736263315872197|26.868360843934234|18.9967892752122|17.001722512375807|12.476955323307429|13.535066888061468|15.947463419666162|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|123|1224|370|348|229|70|22|,nan|119.42829537517825|148.64053983700248|170.18996491223098|201.96531021731406|224.59547252134598|239.1272571088939|253.43775119487148|,nan|4.618707442028917|8.234601492037266|7.826007017398987|8.505434661447351|5.696555073243275|2.9424185070902267|8.234774752095944|,0|218|6130|4306|350|309|118|65|,0|209|5732|3107|62|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|28|,0|0|0|0|2|13|7|6|,0|129|5202|5167|460|323|107|80|,0|0|0|0|0|0|0|0|,0|0|3847|4911|74|100|30|55|,0|129|1355|256|386|223|77|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
38,0|1|2|3|4|5|6|7|,0|1704|338|156|126|57|46|24|,nan|152.61806371508388|184.39018457008726|213.30262913596687|226.56998914520264|231.6518270982761|228.67622165105797|233.2165888221266|,nan|17.89202041259912|26.621228650284273|18.381487450726237|14.969841751799523|16.237224307303137|11.206455014784254|14.07551237070832|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|129|1355|256|386|223|77|25|,nan|119.89670288746343|148.97843039476948|171.29691587005584|200.55715655517628|224.77482353270554|239.8507073593071|253.4295736037001|,nan|4.542191625688657|8.048407659742125|8.001927858215653|7.955397687781017|5.665860799859131|2.8014589637042557|8.438239861436116|,0|190|6132|4380|366|318|111|64|,0|184|5683|3183|60|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|33|,0|0|0|0|4|9|14|6|,0|119|5166|5227|501|326|115|74|,0|0|0|0|0|0|0|0|,0|0|3851|4906|117|85|31|49|,0|119|1315|321|384|241|84|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
39,0|1|2|3|4|5|6|7|,0|1689|349|185|112|90|38|26|,nan|153.2544247246951|185.7254466246417|209.982711268015|221.3227956736541|230.95503936444527|235.2527668042191|230.44793103699806|,nan|18.142147610245996|27.56487009501327|20.74077965742334|18.780890406746853|14.919356710248207|10.205922712215552|9.641758824651383|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|119|1315|321|384|241|84|25|,nan|119.36937109176296|149.11449343222017|170.24324504921952|201.719178302504|224.5413683654413|239.86547967583252|254.20534397090938|,nan|4.872911755383861|8.021691834350136|7.471600226099459|7.8378437033123225|5.855299848264444|3.094664396087212|6.993934082714275|,0|191|6021|4500|365|322|123|77|,0|185|5639|3229|57|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|37|,0|0|0|0|0|17|15|5|,0|102|4952|5433|522|332|128|93|,0|0|0|0|0|0|0|0|,0|0|3463|5246|123|111|60|71|,0|102|1489|187|399|221|68|22|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
40,0|1|2|3|4|5|6|7|,0|1772|316|159|106|65|55|15|,nan|152.35510836177815|186.30645167955717|213.83281010644978|224.07929513670052|223.74060332123324|232.43733119121666|234.7933771181215|,nan|17.35951211308675|27.37630443550706|18.973321001168447|13.135684739444029|14.485189899307015|15.169160793411084|11.835595686314049|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|102|1489|187|399|221|68|22|,nan|119.74913777908276|148.84972670534447|170.60332834792993|201.12553732975192|224.44317247171261|239.48290218810376|252.5754794999001|,nan|4.866354508936771|8.195572468829|7.241209213027253|8.085787813106052|5.799702166498547|3.15529319721877|6.797995040474786|,0|197|6011|4544|359|317|101|69|,0|189|5618|3236|67|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|40|,0|0|0|0|4|15|13|8|,0|108|4893|5561|490|336|95|75|,0|0|0|0|0|0|0|0|,0|0|3409|5349|97|126|31|54|,0|108|1484|212|393|210|64|21|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
41,0|1|2|3|4|5|6|7|,0|1821|291|150|102|65|40|23|,nan|153.00923799022166|185.92065587156733|214.98032465442168|222.44298887469353|229.0804257082853|225.47827562614702|236.6866808808925|,nan|17.544437075312715|28.008315244093456|16.791474821603973|14.320996751497601|13.270365197489085|14.091782636779854|14.85340774258197|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|108|1484|212|393|210|64|21|,nan|120.19404003978046|149.1114251304027|169.91666889470977|200.90734605419377|224.7317256011901|239.20298249955127|251.3444704540481|,nan|4.396577577714685|8.152558965695041|7.231621153779237|8.053122880269877|6.23450871145355|2.532390211780602|6.8451655725746186|,0|218|6358|4236|334|293|105|58|,0|213|5875|2975|47|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|33|,0|0|0|0|4|16|6|7|,0|137|5398|5130|433|299|106|66|,0|0|0|0|0|0|0|0|,0|0|4161|4748|44|57|26|47|,0|137|1237|382|389|242|80|19|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
42,0|1|2|3|4|5|6|7|,0|1698|376|149|111|81|50|21|,nan|153.04829145458538|185.97359772249897|214.09906696013917|223.27756528179276|228.0027682286974|229.9846106430292|230.36378431466173|,nan|18.504179668396773|26.617255075662406|18.731644938866673|14.096749624860676|13.228943322477072|12.181009616623996|12.752019960780814|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|137|1237|382|389|242|80|19|,nan|119.56526891869073|148.37085752126575|169.78743564599768|201.68781566292833|223.67817366394092|239.6963085398977|250.28213531510679|,nan|5.306889612191693|8.204467342453462|6.746536733267909|8.118732195724506|5.61457673906691|2.843213568632687|3.380257086811359|,0|194|6048|4419|404|358|107|66|,0|184|5636|3221|69|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|35|,0|0|0|0|2|18|11|4|,0|99|4972|5428|507|360|120|75|,0|0|0|0|0|0|0|0|,0|0|3493|5229|82|148|44|46|,0|99|1479|199|425|212|76|29|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
43,0|1|2|3|4|5|6|7|,0|1785|340|172|88|65|47|22|,nan|152.8100441192841|188.25053621499774|213.88772760348957|226.0278718370388|228.51501247882882|230.6690569504044|231.3377771638481|,nan|17.092061219628633|26.89862619020191|20.014738837462016|14.37890822097189|14.345302978774706|13.325600672894216|12.842181388093456|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|99|1479|199|425|212|76|29|,nan|119.48801606278504|149.11880763677007|170.01361697582342|199.92719937817824|224.54254772371482|239.15919100533702|250.954734073521|,nan|4.9317184586226|8.03919209646139|7.578202971247393|8.047173939855668|5.332746148496007|2.88288843221991|4.2346493637502585|,0|235|6045|4510|354|306|100|79|,0|225|5640|3193|52|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|38|,0|0|0|0|5|18|9|6|,0|92|4804|5665|512|319|109|90|,0|0|0|0|0|0|0|0|,0|0|3251|5516|99|101|38|66|,0|92|1553|149|413|218|71|24|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
44,0|1|2|3|4|5|6|7|,0|1827|284|193|95|56|46|19|,nan|153.07473010152444|188.30211861647194|215.65434814243434|222.12459345295107|231.2249234339573|230.510255345398|232.1904687285235|,nan|17.279612279653378|27.63704442236009|18.07289937416052|16.308856578370467|15.094426769754568|14.261586683957091|12.780824265629635|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|92|1553|149|413|218|71|24|,nan|119.43333793781713|149.4278359860262|171.43952148681174|201.56248937027243|224.24631708375045|239.80453972898326|253.38470346101818|,nan|4.857333449159741|7.9776508248507225|7.428864887599639|8.467503819969643|5.96455889539895|2.678205516936969|6.487410339412724|,0|175|6112|4508|332|330|101|72|,0|170|5694|3188|58|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|34|,0|0|0|0|3|14|11|6|,0|92|5057|5449|468|346|100|84|,0|0|0|0|0|0|0|0|,0|0|3755|5248|100|113|40|62|,0|92|1302|201|368|233|60|22|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
45,0|1|2|3|4|5|6|7|,0|1614|288|143|115|67|30|21|,nan|153.32619519863638|189.81975579772495|217.0172696713297|225.5379062527068|226.11690157084715|229.96544876639445|230.72558383670753|,nan|17.632646175443586|27.739605831027195|18.12955648254573|13.465813096189644|15.306694342452627|15.96586470137674|11.713636390281717|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|92|1302|201|368|233|60|22|,nan|120.61869544901597|149.00033950623532|170.66210888495337|201.6554600789165|225.20135557719385|239.27528175377935|252.9473937798684|,nan|3.8377743798834665|7.972910976031025|7.1926816852608715|8.501805097580585|5.611938500117604|2.8980924198523192|6.283730380773094|,0|163|5926|4490|309|313|124|63|,0|159|5556|3331|64|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|3|14|6|3|,0|78|4567|5648|525|315|142|87|,0|0|0|0|0|0|0|0|,0|0|2904|5403|145|95|73|57|,0|78|1663|245|380|220|69|30|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
46,0|1|2|3|4|5|6|7|,0|2026|309|137|87|67|43|16|,nan|154.62043724374027|186.6930359665254|217.19504487498114|226.95246332557227|230.94214854623408|227.2633005870239|233.21277555743984|,nan|17.454415697690983|28.22189898840282|20.556102971910448|15.662379357310437|12.735774699305747|15.91877948549477|11.623632496233766|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|78|1663|245|380|220|69|30|,nan|119.68061775068243|149.58348204381278|170.79998365600494|199.9776540210243|224.62544137828226|239.44996368307312|251.9007256317216|,nan|4.448844787704304|7.84996353015823|7.209478479449689|7.982307198993396|5.796129547070739|2.573380233826568|6.497296558924048|,0|170|5951|4808|389|278|122|77|,0|166|5565|3303|76|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|31|,0|0|0|0|1|19|6|5|,0|101|4739|5849|556|300|125|94|,0|0|0|0|0|0|0|0|,0|0|3083|5667|143|89|51|73|,0|101|1656|182|413|211|74|21|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
